"year_quarter","Tasking_Location","base","score"
"2020 Apr to Jun","Vessel","Newquay",7
"2020 Apr to Jun","Vessel","Prestwick",1
"2020 Apr to Jun","Vessel","St Athan",3
"2020 Apr to Jun","Vessel","Stornoway",3
"2020 Apr to Jun","Vessel","Sumburgh",6
"2020 Jul to Sep","Beach/Cliff","Caernarfon",23
"2020 Jul to Sep","Beach/Cliff","Humberside",23
"2020 Jul to Sep","Beach/Cliff","Inverness",12
"2020 Jul to Sep","Beach/Cliff","Lee On Solent",36
"2020 Jul to Sep","Beach/Cliff","Lydd",45
"2020 Jul to Sep","Beach/Cliff","Newquay",38
"2020 Jul to Sep","Beach/Cliff","Prestwick",27
"2020 Jul to Sep","Beach/Cliff","St Athan",50
"2020 Jul to Sep","Beach/Cliff","Stornoway",8
"2020 Jul to Sep","Beach/Cliff","Sumburgh",3
"2020 Jul to Sep","Mountain","Caernarfon",62
"2020 Jul to Sep","Mountain","Humberside",6
"2020 Jul to Sep","Mountain","Inverness",39
"2020 Jul to Sep","Mountain","Lee On Solent",1
"2020 Jul to Sep","Mountain","Lydd",0
"2020 Jul to Sep","Mountain","Newquay",0
"2020 Jul to Sep","Mountain","Prestwick",44
"2020 Jul to Sep","Mountain","St Athan",7
"2020 Jul to Sep","Mountain","Stornoway",18
"2020 Jul to Sep","Mountain","Sumburgh",0
"2020 Jul to Sep","Other","Caernarfon",29
"2020 Jul to Sep","Other","Humberside",25
"2020 Jul to Sep","Other","Inverness",37
"2020 Jul to Sep","Other","Lee On Solent",41
"2020 Jul to Sep","Other","Lydd",21
"2020 Jul to Sep","Other","Newquay",41
